date,MktRF,SMB,HML,RF,RMW,CMA,MOM,IA,ROE,EG
1926-07,0.028900000000000002,-0.0242,-0.0275,0.0022,,,,,,
1926-08,0.0264,-0.0144,0.041299999999999996,0.0025,,,,,,
1926-09,0.0038,-0.013600000000000001,0.0005,0.0023,,,,,,
1926-10,-0.0327,-0.0018,0.0078000000000000005,0.0032,,,,,,
1926-11,0.0254,-0.0017000000000000001,-0.0048,0.0031,,,,,,
1926-12,0.0262,-0.0006,0.001,0.0028000000000000004,,,,,,
1927-01,-0.0005,-0.004699999999999999,0.047599999999999996,0.0025,,,0.005699999999999999,,,
1927-02,0.0417,-0.0023,0.0304,0.0026,,,-0.0151,,,
1927-03,0.0014000000000000002,-0.020099999999999996,-0.0232,0.003,,,0.0352,,,
1927-04,0.004699999999999999,0.0054,0.0062,0.0025,,,0.0435,,,
1927-05,0.0545,0.0149,0.0504,0.003,,,0.0278,,,
1927-06,-0.023799999999999998,0.0042,-0.015300000000000001,0.0026,,,0.0054,,,
1927-07,0.0726,-0.0327,-0.0113,0.003,,,0.0417,,,
1927-08,0.0199,-0.0077,-0.0385,0.0028000000000000004,,,0.013600000000000001,,,
1927-09,0.04769999999999999,-0.036000000000000004,-0.005699999999999999,0.0021,,,0.0194,,,
1927-10,-0.0429,0.0203,-0.0447,0.0025,,,-0.009000000000000001,,,
1927-11,0.0652,0.0278,-0.0008,0.0021,,,-0.0023,,,
1927-12,0.0209,0.0098,-0.011200000000000002,0.0022,,,0.0311,,,
1928-01,-0.005699999999999999,0.042,-0.0070999999999999995,0.0025,,,-0.0045000000000000005,,,
1928-02,-0.0169,-0.0206,-0.0064,0.0033,,,-0.010700000000000001,,,
1928-03,0.08789999999999999,-0.0038,-0.0111,0.0029,,,0.0475,,,
1928-04,0.0425,0.0414,0.0325,0.0022,,,-0.058499999999999996,,,
1928-05,0.0152,0.027000000000000003,-0.03,0.0032,,,0.0264,,,
1928-06,-0.049,-0.037599999999999995,0.0028000000000000004,0.0031,,,0.0169,,,
1928-07,0.0063,-0.013600000000000001,-0.0054,0.0032,,,0.0254,,,
1928-08,0.0669,-0.0204,-0.0213,0.0032,,,0.0368,,,
1928-09,0.0287,0.024,0.0084,0.0027,,,0.0349,,,
1928-10,0.0131,0.022400000000000003,-0.021400000000000002,0.0040999999999999995,,,0.051699999999999996,,,
1928-11,0.1182,-0.0182,0.0265,0.0038,,,0.0187,,,
1928-12,0.004,-0.009300000000000001,-0.0052,0.0006,,,0.0144,,,
1929-01,0.0466,-0.0335,-0.012199999999999999,0.0034000000000000002,,,0.024300000000000002,,,
1929-02,-0.0034000000000000002,-0.0033,0.0166,0.0036,,,0.030699999999999998,,,
1929-03,-0.0085,-0.049100000000000005,0.015700000000000002,0.0034000000000000002,,,-0.0062,,,
1929-04,0.0147,-0.011200000000000002,0.009300000000000001,0.0036,,,0.0207,,,
1929-05,-0.0638,-0.054400000000000004,-0.0152,0.0044,,,-0.0219,,,
1929-06,0.09699999999999999,-0.021400000000000002,-0.0274,0.0052,,,0.08310000000000001,,,
1929-07,0.044800000000000006,-0.0387,0.026699999999999998,0.0033,,,0.0296,,,
1929-08,0.0814,-0.0975,0.0032,0.004,,,0.044000000000000004,,,
1929-09,-0.0545,0.0134,-0.0079,0.0034999999999999996,,,0.0296,,,
1929-10,-0.2007,-0.0495,0.0754,0.0046,,,0.024399999999999998,,,
1929-11,-0.12869999999999998,-0.0088,0.050499999999999996,0.0037,,,-0.0204,,,
1929-12,0.0128,-0.040999999999999995,-0.0014000000000000002,0.0037,,,0.0542,,,
1930-01,0.056100000000000004,0.0349,-0.0103,0.0014000000000000002,,,-0.0546,,,
1930-02,0.025,0.0028000000000000004,0.0028000000000000004,0.003,,,0.011200000000000002,,,
1930-03,0.0709,0.0339,0.003,0.0034999999999999996,,,-0.042300000000000004,,,
1930-04,-0.020499999999999997,-0.0034999999999999996,-0.0037,0.0021,,,0.041299999999999996,,,
1930-05,-0.0166,-0.021,-0.0074,0.0026,,,-0.0076,,,
1930-06,-0.16079999999999997,-0.0359,0.024,0.0027,,,0.0584,,,
1930-07,0.0412,-0.0027,-0.017,0.002,,,-0.021400000000000002,,,
1930-08,0.003,-0.0216,-0.0059,0.0009,,,0.0387,,,
